year,temp
2835,0.4354799089
2836,0.456657048556
2837,0.476173497533
2838,0.494029255832
2839,0.510224323453
2840,0.524758700396
2841,0.53763238666
2842,0.548845382246
2843,0.558397687153
2844,0.566289301382
2845,0.572520224933
2846,0.577090457806
2847,0.58
2848,0.581248851516
2849,0.580837012353
2850,0.578764482513
2851,0.575031261994
2852,0.569637350796
2853,0.562582748921
2854,0.553867456366
2855,0.543491473134
2856,0.531454799223
2857,0.517757434634
2858,0.502399379367
2859,0.485380633421
2860,0.466701196797
2861,0.446361069495
2862,0.424360251514
2863,0.400698742855
2864,0.375376543518
2865,0.348393653502
2866,0.319750072809
2867,0.289445801436
2868,0.257480839386
2869,0.224801678517
2870,0.19235481069
2871,0.160140235906
2872,0.128157954164
2873,0.096407965464
2874,0.0648902698062
2875,0.0336048671905
2876,0.00255175761708
2877,-0.0282690589142
2878,-0.0588575824033
2879,-0.0892138128503
2880,-0.119337750255
2881,-0.149229394618
2882,-0.178888745938
2883,-0.208315804216
2884,-0.237510569452
2885,-0.266473041646
2886,-0.295203220798
2887,-0.323701106907
2888,-0.351966699975
2889,-0.38
2890,-0.407801006983
2891,-0.435369720924
2892,-0.462706141823
2893,-0.489810269679
2894,-0.516682104493
2895,-0.543321646265
2896,-0.569728894995
2897,-0.595903850683
2898,-0.621846513329
2899,-0.647556882932
2900,-0.673034959494
2901,-0.698280743013
2902,-0.72329423349
2903,-0.748075430924
2904,-0.772624335317
2905,-0.796940946667
2906,-0.821025264976
2907,-0.844877290242
2908,-0.868497022465
2909,-0.891884461647
2910,-0.915039607787
2911,-0.937962460884
2912,-0.960622860345
2913,-0.982839842608
2914,-1.00458324708
2915,-1.02585307375
2916,-1.04664932264
2917,-1.06697199373
2918,-1.08682108703
2919,-1.10619660254
2920,-1.12509854025
2921,-1.14352690017
2922,-1.1614816823
2923,-1.17896288663
2924,-1.19597051317
2925,-1.21250456192
2926,-1.22856503288
2927,-1.24415192605
2928,-1.25926524142
2929,-1.273904979
2930,-1.28807113878
2931,-1.30176372078
2932,-1.31498272498
2933,-1.32772815138
2934,-1.34
2935,-1.35179827082
2936,-1.36312296385
2937,-1.37397407909
2938,-1.38435161653
2939,-1.39425557619
2940,-1.40368595804
2941,-1.41264276211
2942,-1.42112598838
2943,-1.42913563686
2944,-1.43667170755
2945,-1.44373420045
2946,-1.45032311555
2947,-1.45643845286
2948,-1.46208021238
2949,-1.4672483941
2950,-1.47194299803
2951,-1.47616402417
2952,-1.47991147252
2953,-1.48318534307
2954,-1.48598563583
2955,-1.4883123508
2956,-1.49016548798
2957,-1.49154504736
2958,-1.49248398274
2959,-1.49301524793
2960,-1.49313884291
2961,-1.49285476768
2962,-1.49216302226
2963,-1.49106360663
2964,-1.4895565208
2965,-1.48764176477
2966,-1.48531933854
2967,-1.4825892421
2968,-1.47945147546
2969,-1.47590603862
2970,-1.47195293157
2971,-1.46759215433
2972,-1.46282370688
2973,-1.45764758923
2974,-1.45206380137
2975,-1.44607234332
2976,-1.43967321506
2977,-1.4328664166
2978,-1.42565194793
2979,-1.41802980907
2980,-1.41
2981,-1.40156252073
2982,-1.39271737126
2983,-1.38346455158
2984,-1.3738040617
2985,-1.36373590162
2986,-1.35326007134
2987,-1.34237657085
2988,-1.33108540017
2989,-1.31938655928
2990,-1.30728004818
2991,-1.29476586689
2992,-1.28184401539
2993,-1.26851449369
2994,-1.25477730179
2995,-1.24063243968
2996,-1.22607990738
2997,-1.21111970487
2998,-1.19575183215
2999,-1.17997628924
3000,-1.16379307612
3001,-1.1472021928
3002,-1.13020363928
3003,-1.11279741556
3004,-1.09522938686
3005,-1.07774541842
3006,-1.06034551023
3007,-1.0430296623
3008,-1.02579787462
3009,-1.00865014719
3010,-0.991586480026
3011,-0.974606873112
3012,-0.957711326454
3013,-0.94089984005
3014,-0.924172413901
3015,-0.907529048007
3016,-0.890969742368
3017,-0.874494496984
3018,-0.858103311855
3019,-0.841796186981
3020,-0.825573122362
3021,-0.809434117998
3022,-0.793379173888
3023,-0.777408290034
3024,-0.761521466434
3025,-0.74571870309
3026,-0.73
3027,-0.714365357165
3028,-0.698814774585
3029,-0.68334825226
3030,-0.66796579019
3031,-0.652667388375
3032,-0.637453046815
3033,-0.62232276551
3034,-0.607276544459
3035,-0.592314383664
3036,-0.577436283123
3037,-0.562642242838
3038,-0.547932262807
3039,-0.533306343031
3040,-0.518764483511
